HRU_ID,2012,2013,2014,2015,2016
97,16,-999,-999,-999,-999
672,2,2,2,2,2
95,16,-999,-999,-999,-999
2553,28,19,28,19,19
2554,19,28,19,28,19
2551,2,2,2,2,2
2552,28,19,28,19,28
2557,19,19,19,19,19
2558,19,28,19,28,19
2555,16,-999,-999,-999,-999
2556,28,19,28,19,28
93,16,-999,-999,-999,-999
2559,28,19,28,19,28
2560,2,2,2,2,2
1430,2,2,2,2,2
2990,2,2,2,2,2
2991,2,2,2,2,2
91,16,-999,-999,-999,-999
2982,16,-999,-999,-999,-999
2983,2,2,2,2,2
2984,15,-999,-999,-999,-999
2985,2,2,2,2,2
2986,2,2,2,2,2
2987,2,2,2,2,2
2988,2,2,2,2,2
2989,2,2,2,2,2
1610,2,2,2,2,2
2239,2,2,2,2,2
2240,2,2,2,2,2
2237,2,2,2,2,2
2238,2,2,2,2,2
2235,2,2,2,2,2
2236,2,2,2,2,2
2233,16,-999,-999,-999,-999
2234,2,2,2,2,2
2231,2,2,2,2,2
2232,2,2,2,2,2
1869,15,-999,-999,-999,-999
1870,2,2,2,2,2
1867,2,2,2,2,2
1868,2,2,2,2,2
1865,5,5,5,5,5
1866,5,5,5,5,5
1863,2,2,2,2,2
1864,5,5,5,5,5
1861,2,2,2,2,2
1862,2,2,2,2,2
3152,19,28,27,19,28
3153,19,28,27,19,28
3154,28,19,28,19,28
598,16,-999,-999,-999,-999
591,16,-999,-999,-999,-999
592,16,-999,-999,-999,-999
3158,28,19,28,19,27
3159,19,19,28,19,27
3160,19,19,28,19,27
3161,19,19,28,19,27
599,16,-999,-999,-999,-999
600,16,-999,-999,-999,-999
2487,-999,-999,-999,-999,-999
2488,15,-999,-999,-999,-999
2485,2,2,2,2,2
2486,2,2,2,2,2
2483,2,2,2,2,2
2484,2,2,2,2,2
2481,16,-999,-999,-999,-999
2482,2,2,2,2,2
2489,2,2,2,2,2
2490,2,2,2,2,2
1551,19,28,19,28,19
1552,19,28,19,28,19
2680,2,2,2,2,2
2681,5,5,5,5,5
3230,2,2,2,2,2
3231,2,2,2,2,2
1543,16,-999,-999,-999,-999
1544,16,-999,-999,-999,-999
2678,19,28,4,28,4
1546,16,-999,-999,-999,-999
1547,52,28,31,31,4
2673,5,5,5,5,5
2674,5,5,5,5,5
1550,28,27,19,28,31
2676,2,2,2,2,2
