HRU_ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
4299,28,52,52,52,52,52,52,52,52,52,52,52
4298,28,52,52,52,52,52,52,52,52,52,52,52
6809,28,1,28,1,70,28,1,28,1,70,28,1
4303,28,52,52,52,52,52,52,52,4,52,52,52
4302,16,16,12,16,16,16,16,16,16,16,16,16
1121,28,28,28,28,28,28,28,28,1,28,1,28
10350,12,1,12,11,12,6,16,1,16,91,91,91
10349,12,52,12,11,12,6,1,1,1,91,91,91
10352,12,52,12,11,12,6,1,52,1,91,52,52
10351,12,10,12,10,12,6,1,10,10,91,52,11
10346,28,52,52,52,52,19,28,19,1,1,1,1
10345,52,52,52,52,52,19,28,19,19,1,19,52
10348,12,52,12,11,12,6,1,52,1,91,91,91
10347,28,52,52,52,52,19,28,19,1,1,1,1
6812,19,19,12,1,8,6,12,1,1,73,1,91
10354,43,28,43,28,28,43,28,28,43,28,43,28
10353,28,28,28,1,16,28,19,16,1,52,52,52
5343,43,43,28,70,28,73,28,43,63,70,28,43
10273,16,28,12,52,31,31,31,1,5,5,27,52
10272,52,52,12,52,31,31,31,1,5,63,27,52
10271,16,28,12,16,16,31,31,28,5,16,31,31
10270,52,52,12,52,16,16,16,52,52,52,52,52
5342,27,1,28,1,27,70,28,73,19,70,28,43
10275,52,52,12,12,16,16,52,52,52,52,52,52
10274,16,5,12,52,31,31,31,1,5,16,31,31
5341,28,1,28,1,28,1,28,1,28,1,28,1
5301,1,63,12,28,1,1,1,1,1,1,1,70
5346,28,1,28,1,28,1,28,1,28,28,1,1
479,1,28,1,28,1,28,1,28,1,28,1,28
478,1,28,1,28,1,28,1,28,1,28,1,28
473,1,28,1,28,1,28,27,27,27,27,28,28
472,1,28,1,28,1,28,27,27,27,27,27,28
471,28,27,27,1,27,28,28,1,27,27,28,28
470,28,27,27,1,27,28,28,1,27,27,28,1
477,1,28,1,28,1,28,1,28,1,28,1,28
476,1,28,1,28,1,28,1,28,1,28,1,28
475,1,28,1,28,1,28,1,28,1,28,1,28
474,1,28,1,28,1,28,27,27,27,27,28,28
4168,16,16,12,16,16,16,16,16,16,16,16,16
220,16,28,12,28,28,1,1,16,1,28,1,28
219,28,28,1,1,28,28,28,1,28,1,1,27
212,16,16,12,16,16,16,16,16,16,16,16,16
211,16,16,12,16,16,16,16,16,16,16,16,16
214,28,28,28,28,28,1,28,1,28,1,28,1
213,16,16,12,16,16,16,16,16,16,16,16,16
216,28,16,1,1,28,27,28,1,28,1,28,1
215,1,28,1,28,1,28,1,28,1,28,1,28
218,1,28,1,28,1,28,1,28,1,28,1,28
217,27,1,28,1,28,1,28,1,28,1,28,1
4169,16,16,12,16,16,16,16,16,16,16,16,16
11224,URLD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
4443,28,1,28,1,16,16,16,16,16,16,16,16
9492,27,28,1,28,1,1,1,1,1,1,1,1
9491,73,28,63,19,28,19,63,70,63,73,63,28
9490,28,16,12,28,16,1,1,52,1,1,1,52
9489,16,16,12,16,16,16,16,16,16,16,16,12
5822,43,5,10,5,10,5,5,10,10,10,10,28
5823,43,5,10,5,10,5,5,10,1,10,10,16
9494,16,28,12,16,1,16,16,16,16,16,16,16
9493,27,28,52,52,52,52,52,52,52,52,28,52
5818,52,52,52,52,5,52,52,52,52,52,52,52
5819,1,28,1,28,1,28,1,1,1,75,1,28
5820,1,28,1,28,1,28,1,1,1,75,1,28
5821,1,28,1,28,1,28,1,63,1,1,1,1
5814,1,27,12,28,16,1,1,28,1,28,1,28
5815,1,27,12,28,16,1,1,28,28,28,1,28
5816,28,28,12,52,16,16,16,16,16,16,16,16
5817,1,1,12,1,1,1,1,1,1,1,1,1
9244,52,52,28,63,52,52,52,52,28,52,28,43
8858,16,16,12,16,16,16,16,16,16,16,16,12
8857,16,16,12,16,16,16,16,16,16,16,16,12
8860,1,16,12,16,52,52,16,52,52,52,52,52
8859,1,16,12,1,52,52,52,52,52,52,52,52
8862,52,52,12,28,52,52,52,52,52,52,52,52
8861,16,16,12,16,16,16,16,16,16,16,16,12
8864,16,16,12,16,16,16,16,16,16,16,16,12
8863,52,52,12,52,52,52,52,52,1,52,52,52
8866,16,16,12,16,16,16,16,16,16,16,16,12
8865,16,16,12,16,16,16,16,16,16,16,16,12
5994,1,1,1,27,1,28,1,28,1,28,1,28
5597,28,16,12,28,12,16,28,16,16,52,28,52
5594,28,28,12,28,12,28,28,16,16,16,52,28
5595,1,28,1,1,1,1,1,1,1,1,28,1
5600,1,1,1,1,12,1,1,1,1,1,1,1
5601,1,1,1,1,1,1,1,1,1,1,28,1
5598,28,16,12,28,12,16,28,16,16,52,28,52
5599,28,16,1,28,12,1,28,1,1,1,28,52
6002,28,1,28,1,16,27,1,1,1,1,28,1
6003,28,1,28,1,16,27,1,1,1,1,1,1
5602,1,28,1,1,1,1,28,1,28,1,28,1
2000,52,52,52,52,52,52,52,52,52,52,52,52
2001,52,52,52,52,52,52,52,52,52,52,52,52
1992,52,52,52,52,52,52,52,52,52,52,52,52
1993,16,16,12,16,16,16,16,16,16,16,16,16
1994,52,52,52,52,52,31,52,52,52,52,52,52
1995,52,52,52,52,52,16,52,52,52,52,52,28
1996,52,52,52,52,52,31,52,52,52,52,52,52
