 HRU   WRID   WSRC   PRIOR   WATER(acre-ft)   YEAR
   697      665      4      1       0.8263985980   1997
   697      747      4      2       0.0000000000   1997
   700      302      1      1       0.1837039908   1997
   714      172      1      1       7.0720951078   1997
   714     1422      4      2       0.0000000000   1997
   714     1425      4      3       0.0000000000   1997
   714     1472      4      4       0.0000000000   1997
   715      302      1      1       0.0765433295   1997
   723      176      1      1       3.1224291226   1997
   723     1422      4      2       0.0000000000   1997
   723     1425      4      3       0.0000000000   1997
   723     1472      4      4       0.0000000000   1997
   724      665      4      1      17.9076374160   1997
   727     1454      4      1       5.0505129441   1997
   727     1455      4      2       0.0000000000   1997
   727     1456      4      3       0.0000000000   1997
   728       87      1      1      11.5061174583   1997
   728     1454      4      2       0.0000000000   1997
   729       87      1      1      14.2038381367   1997
   729     1454      4      2       0.0000000000   1997
   729     1455      4      3       0.0000000000   1997
   729     1456      4      4       0.0000000000   1997
   730      199      1      1      49.5415536894   1997
   730     1459      4      2       0.0000000000   1997
   731     1459      4      1       0.3750623146   1997
   732      665      4      1       0.0918519954   1997
   733      176      1      1       3.6085129350   1997
   733     1422      4      2       0.0000000000   1997
   733     1425      4      3       0.0000000000   1997
   733     1472      4      4       0.0000000000   1997
   734      176      1      1       9.9289592107   1997
   734     1422      4      2       0.0000000000   1997
   734     1425      4      3       0.0000000000   1997
   734     1472      4      4       0.0000000000   1997
   735      176      1      1       1.5874925607   1997
   735     1422      4      2       0.0000000000   1997
   735     1425      4      3       0.0000000000   1997
   735     1472      4      4       0.0000000000   1997
   736      176      1      1       5.3484012643   1997
   736     1422      4      2       0.0000000000   1997
   736     1425      4      3       0.0000000000   1997
   736     1472      4      4       0.0000000000   1997
   737      176      1      1       8.7206335012   1997
   737     1422      4      2       0.0000000000   1997
   737     1425      4      3       0.0000000000   1997
   737     1472      4      4       0.0000000000   1997
   738      176      1      1       1.2395978970   1997
   738     1422      4      2       0.0000000000   1997
   738     1425      4      3       0.0000000000   1997
   738     1472      4      4       0.0000000000   1997
   739      176      1      1       6.4115736887   1997
   739     1422      4      2       0.0000000000   1997
   739     1425      4      3       0.0000000000   1997
   739     1472      4      4       0.0000000000   1997
   740      176      1      1      18.5262972780   1997
   740     1422      4      2       0.0000000000   1997
   740     1425      4      3       0.0000000000   1997
   740     1472      4      4       0.0000000000   1997
   741      665      4      1       2.9387251317   1997
   741      747      4      2       0.0000000000   1997
   743      121      1      1       2.4662282614   1997
   744      172      1      1       1.6837063352   1997
   745      172      1      1       4.7481281102   1997
   745     1422      4      2       0.0000000000   1997
   745     1425      4      3       0.0000000000   1997
   745     1472      4      4       0.0000000000   1997
   746      172      1      1      15.6088612370   1997
   746     1422      4      2       0.0000000000   1997
   746     1425      4      3       0.0000000000   1997
   746     1472      4      4       0.0000000000   1997
   747      172      1      1       3.4754847832   1997
   747     1422      4      2       0.0000000000   1997
   747     1425      4      3       0.0000000000   1997
   747     1472      4      4       0.0000000000   1997
   751      199      1      1       0.0688889966   1997
   752      199      1      1      32.6175303420   1997
   752     1459      4      2       0.0000000000   1997
   753     1736      5      1     391.1089942970   1997
   753     1697      3      2       0.0000000000   1997
   754      535      1      1      15.0137216583   1997
   754     1615      3      2       0.0000000000   1997
   754     1689      3      3       0.0000000000   1997
   755     1615      3      1       0.0000000000   1997
   755     1689      3      2       0.0000000000   1997
   756     1615      3      1      12.2677652762   1997
   756     1689      3      2       0.0000000000   1997
   757     1615      3      1      56.1865214055   1997
   757     1689      3      2       0.0000000000   1997
   758     1615      3      1      12.0753951367   1997
   758     1689      3      2       0.0000000000   1997
   759     1615      3      1      14.6909585757   1997
   759     1689      3      2       0.0000000000   1997
   760     1615      3      1      54.9632347026   1997
   760     1689      3      2       0.0000000000   1997
   761     1615      3      1       9.4251053632   1997
   761     1689      3      2       0.0000000000   1997
   762      224      1      1       0.0000000000   1997
   762      348      1      2       0.0000000000   1997
   762      349      1      3       0.0000000000   1997
   763     1615      3      1       4.7759669222   1997
   763     1689      3      2       0.0000000000   1997
   764      224      1      1      25.6357708502   1997
   764     1689      3      2       0.0000000000   1997
   764     1691      3      3       0.0000000000   1997
   765      224      1      1      42.1994587515   1997
   765      348      1      2       0.0000000000   1997
   765      349      1      3       0.0000000000   1997
   765     1689      3      4       0.0000000000   1997
   765     1691      3      5       0.0000000000   1997
   766     1736      5      1     100.8088726095   1997
   766     1697      3      2       0.0000000000   1997
   767     1736      5      1     176.0146377527   1997
   767     1697      3      2       0.0000000000   1997
   768     1736      5      1      37.9709903118   1997
   768     1697      3      2       0.0000000000   1997
   769     1736      5      1      13.5880536335   1997
   769     1697      3      2       0.0000000000   1997
   770     1736      5      1     246.9970703436   1997
   770     1697      3      2       0.0000000000   1997
   771     1736      5      1      69.7420405896   1997
   771     1697      3      2       0.0000000000   1997
   772     1736      5      1      63.2191198587   1997
   772     1697      3      2       0.0000000000   1997
   773     1736      5      1      87.1358082218   1997
   773     1697      3      2       0.0000000000   1997
   774     1736      5      1     514.0618790462   1997
   774     1697      3      2       0.0000000000   1997
   775     1736      5      1      84.1023683602   1997
   775     1697      3      2       0.0000000000   1997
   776     1736      5      1      98.5814877005   1997
